0.0,519.6152098125312,1568000.0,678000.0,90.0,0,T,CLOTHOID
519.6152098125312,676.6949030597102,1568000.0,678519.6152098125,90.0,300.0,C,CLOTHOID
676.6949030597102,1020.590932044679,1567959.8075908516,678669.6152622657,120.00001156757658,0,T,CLOTHOID
1020.590932044679,1080.590932044679,1567787.8595162309,678967.4379249122,120.00001156757658,400.0,SPIN,CLOTHOID
1080.590932044679,1299.8436829618054,1567756.577860242,679018.6205233589,124.29719503105781,400.0,C,CLOTHOID
1299.8436829618054,1359.8436829618054,1567590.7151919096,679157.7957451763,155.7028382165189,400.0,SPOUT,CLOTHOID
1359.8436829618054,1608.4575577282014,1567534.878156864,679179.7143651715,160.00002168000003,0,T,CLOTHOID
1608.4575577282014,1668.4575577282014,1567301.2575011465,679264.7452298529,160.00002168000003,-400.0,SPIN,BLOSS
1668.4575577282014,1887.7106419783902,1567245.3664103078,679286.5239457441,155.70283821651878,-400.0,C,CLOTHOID
1887.7106419783902,1947.7106419783902,1567079.5035541472,679425.6994429367,124.29714728461359,-400.0,SPOUT,BLOSS
1947.7106419783902,2179.2500679098625,1567048.3503327866,679476.9595960758,119.99996382113245,0,T,CLOTHOID
2179.2500679098625,2249.2500679098625,1566932.5807464367,679677.4786940118,119.99996382113245,500.0,SPIN,COSINE
2249.2500679098625,2484.8276821107547,1566896.3356117962,679737.3456812622,124.00236344580601,500.0,C,CLOTHOID
2484.8276821107547,2554.8276821107547,1566724.2517196692,679895.0317013323,150.99756952875057,500.0,SPOUT,COSINE
2554.8276821107547,2769.3352854479995,1566661.453608884,679925.921234015,154.99996915342413,0,T,CLOTHOID
2769.3352854479995,2839.3352854479995,1566467.0437464071,680016.5761691328,154.99996915342413,-500.0,SPIN,SINE
2839.3352854479995,3074.7673558420647,1566404.2145945951,680047.4016437079,150.98926458750836,-500.0,C,CLOTHOID
3074.7673558420647,3144.7673558420647,1566232.2349527513,680204.9919475572,124.01073659629469,-500.0,SPOUT,SINE
3144.7673558420647,3460.4544034648075,1566196.0508557833,680264.8953975983,120.00003203037892,0,T,CLOTHOID
3460.4544034648075,3510.4544034648075,1566038.2071791356,680538.2883122452,120.00003203037892,400.0,SPIN,CLOTHOID
3510.4544034648075,3754.6131201314984,1566012.3150609676,680581.0519684282,123.58101824994657,400.0,C,CLOTHOID
3754.6131201314984,3844.6131201314984,1565825.3217571124,680732.1112221653,158.55417824077628,400.0,SPOUT,CLOTHOID
3844.6131201314984,4320.763919470499,1565739.3711397755,680758.6325959845,164.99995343599798,0,T,CLOTHOID
4320.763919470499,4425.483674590158,1565279.44488564,680881.869864974,164.99995343599798,300.0,C,CLOTHOID
4425.483674590158,4504.023704319856,1565175.6524566647,680890.9506108664,184.99995343599795,150.0,C,CLOTHOID
4504.023704319856,4938.7052029365805,1565102.689156243,680864.3941496974,215.00003494495576,0,T,CLOTHOID
4938.7052029365805,5078.331547843578,1564746.6190701,680615.0708676043,215.00003494495576,50.0,C,CLOTHOID
5078.331547843578,5366.759681040945,1564788.2389031947,680525.8170006883,15.000040385134067,0,T,CLOTHOID
5366.759681040945,5415.62894157231,1565066.8390334605,680600.4678910754,15.000040385134067,-40.0,C,CLOTHOID
5415.62894157231,5887.620465858661,1565109.9579118874,680584.7739118956,304.99998097582227,0,T,CLOTHOID
5887.620465858661,6473.04512477634,1565380.681,680198.141,264.06529477604505,0,T,CLOTHOID
6473.04512477634,7066.987233438442,1565320.151,679615.854,312.8542175231949,0,T,CLOTHOID
